"","X","team","experience","salary","points3","points2","free_throws","points","off_rebounds","def_rebounds","assists","steals","blocks","turnovers","fouls","efficiency","PC1","PC2","scaledPC"
"1",1,"ATL",93,90.89,626,2254,1373,4253,807,2537,1784,601,354,1136,1329,140.326904553955,0.288317096070219,0.128126524628202,55.4718966579277
"2",2,"BOS",63,91.92,985,2183,1536,4704,744,2698,2069,617,341,1037,1686,148.252470272361,1.64756769417797,-1.86789317125976,68.4329299998007
"3",3,"BRK",52,65.45,738,1950,1381,4069,608,2546,1593,547,372,1152,1522,147.782342770054,-0.637869417546782,-0.641089452286031,46.6403137985972
"4",4,"CHI",58,92.08,565,2162,1330,4057,865,2416,1746,605,339,952,1275,139.102496836529,-0.788951393235645,0.54911242286134,45.1996828163593
"5",5,"CHO",66,100.25,808,2102,1499,4409,634,2636,1805,550,320,827,1198,145.29938208691,-1.421389127636,-1.77161789320289,39.1691196710254
"6",6,"CLE",128,125.79,1012,2107,1355,4474,727,2639,1760,475,299,1005,1318,177.858513810418,-1.14291965677747,-1.92547948868452,41.8244446725488
"7",7,"DAL",62,92.1,754,1803,1042,3599,534,2109,1291,538,266,703,1280,148.224302145159,-5.17704702275179,-0.377192248967972,3.35732215037009
"8",8,"DEN",74,78.38,868,2347,1471,4686,867,2646,2009,538,285,1097,1458,167.359480606341,0.862821602890217,-0.97555393787847,60.9500418051995
"9",9,"DET",55,103.07,631,2638,1140,4409,908,2838,1731,574,310,932,1467,136.376242247855,0.422805907179635,1.35206354991834,56.754304749066
"10",10,"GSW",101,98.69,982,2540,1447,4969,759,2854,2475,779,551,1171,1565,172.391638919092,4.95807216141511,-2.2173199347972,100
"11",11,"HOU",56,84.66,1141,1769,1508,4418,766,2429,1906,564,292,1046,1314,155.103145868701,-0.743484150734714,-3.20314199270935,45.6332323375719
"12",12,"IND",84,84.57,641,2331,1333,4305,679,2436,1713,612,391,996,1490,135.069716171602,-0.139309799882525,0.356123804025751,51.3942920837299
"13",13,"LAC",124,114.78,841,2401,1586,4828,740,2790,1848,613,349,1024,1626,147.124188717853,1.6926407690615,-0.755045260059047,68.86272096491
"14",14,"LAL",66,86.27,592,2249,1080,3921,909,2462,1430,593,307,1028,1593,143.976774778222,-0.74492301193011,2.02001159460417,45.6195121832797
"15",15,"MEM",83,108.34,750,2140,1465,4355,866,2534,1669,612,329,973,1748,140.970732851105,0.60710901766605,0.466792449289018,58.5117134000909
"16",16,"MIA",63,72.78,799,2349,1217,4365,857,2649,1728,577,464,1019,1647,151.990179644907,1.11547084415164,0.557074415084478,63.3591599209811
"17",17,"MIL",64,90.27,718,2424,1388,4530,700,2541,1953,651,422,1064,1601,153.258820555381,1.49396290938443,-0.16379543269845,66.9682429583149
"18",18,"MIN",48,59.38,601,2623,1585,4809,938,2530,1934,652,370,1095,1644,144.838327876467,2.57542841242585,1.17694294158149,77.2804771133107
"19",19,"NOP",55,90.63,513,1952,1120,3585,580,2244,1523,497,380,823,1164,164.25214899256,-3.88676319132613,0.302389780632577,15.6607279997909
"20",20,"NYK",59,97.01,636,2445,1262,4343,961,2591,1499,526,451,975,1584,143.903330250407,0.480472799057202,2.02594522364008,57.3041831227727
"21",21,"OKC",55,86.98,611,2380,1511,4502,936,2628,1610,595,394,1133,1561,146.868029100158,1.55540711588637,1.31706185378412,67.554139635679
"22",22,"ORL",57,102.41,614,2168,1230,4012,699,2435,1744,544,302,978,1432,125.140617170448,-1.48311675766583,0.220454433767309,38.5805204296161
"23",23,"PHI",34,55.78,690,1917,1212,3819,673,2282,1788,599,369,1184,1516,164.091582443122,-0.714966355440061,-0.364131691911394,45.9051616611016
"24",24,"PHO",68,72.53,564,2551,1605,4720,882,2456,1530,587,385,1171,1886,144.306519382427,2.03879342272059,2.29974730095168,72.1634339399119
"25",25,"POR",43,103.03,852,2156,1386,4394,710,2437,1519,524,345,988,1587,143.732051577965,-0.896505792644319,-0.207156592831556,44.1741058118381
"26",26,"SAC",68,88.19,558,1838,998,3394,524,1878,1394,503,234,847,1302,148.395366577345,-5.52913639869591,0.474278019862833,0
"27",27,"SAS",99,104.69,743,2459,1431,4633,821,2768,1926,650,485,1038,1479,146.623646218054,2.29907186748532,-0.142724754882863,74.6452997602859
"28",28,"TOR",57,108.46,626,2359,1570,4555,848,2533,1469,621,379,933,1609,158.765798461565,0.646982713371555,1.31200396833456,58.8919260703831
"29",29,"UTA",71,80.32,791,2242,1401,4434,771,2774,1651,550,410,1061,1545,145.819348274774,0.730758616708246,-0.155093392407924,59.6907649878748
"30",30,"WAS",56,98.78,671,2417,1316,4404,748,2393,1861,605,314,1017,1465,143.011692087198,-0.109300873384607,0.209106961611482,51.680439978338
